Station,Name,Agency,Graph analysis,Notes,BF_good,RO_good,TOT_good,Annual,Seasonal,Count yrs 2000-2022,NumYears,HUC4,Region,PART_mean_in,HySpFx_mean_in,HySpLM_mean_in,HySpSL_mean_in,BFIst_mean_in,BFIMod_mean_in,max,min,mean_bf,Range,site_no
5243725,STRAIGHT RIVER NEAR PARK RAPIDS  MN,USGS,TONS of baseflow,Is the GW watershed the same as SW?,yes,yes,yes,yes,yes,23,31,701,central,13.68,13.46,13.25,13.47,13.23,13.21,13.68,13.21,13.38,0.47,5243725
5245100,LONG PRAIRIE RIVER AT LONG PRAIRIE  MN,USGS,Snowmelt dominated?  Lots of recharge,Lots of lakes in headwaters; more water now than previous decades,yes,yes,yes,yes,yes,23,51,701,central,5.21,4.99,4.38,4.99,4.42,4.39,5.21,4.38,4.73,0.83,5245100
5287890,ELM CREEK NR CHAMPLIN  MN,USGS,"Low flows pretty low, but looks normal",Suburban site.,yes,yes,yes,yes,yes,23,44,701,central,5.55,5.34,3.21,5.35,2.82,2.79,5.55,2.79,4.18,2.76,5287890
5288580,RICE CREEK BLW OLD HWY. 8 IN MOUNDS VIEW  MN,USGS,"LOTS of lakes, not good baseflow","Suburban site, lots of lakes",no,no,yes,yes,yes,14,14,701,central,6.18,6.22,5.63,6.23,5.46,5.42,6.23,5.42,5.86,0.81,5288580
5288705,SHINGLE CREEK AT QUEEN AVE IN MINNEAPOLIS  MN,USGS,"Flashy from urban runoff, but base looks OK","Urban, BFI looks better than others",yes,yes,yes,yes,yes,21,20,701,central,5.42,5.63,4.49,5.68,3.06,3,5.68,3,4.55,2.68,5288705
10067001,"Little Elk River nr Little Falls, CSAH13",Minnesota DNR,Only seasonal data; 1 yr of annual,Wetlands but no obvious lakes,yes,yes,yes,1 year,yes,6,,701,central,,,,,,,,,,,
11015001,"Pine River nr Jenkins, CSAH15",Minnesota DNR,Several years of seasonal data,Too much SW for base flows,no,no,yes,no,yes,13,,701,central,,,,,,,,,,,
12047001,"Partridge River nr Staples, CSAH29",Minnesota DNR,"Kind of flashy, but good enough low flows",Only seasonal records,yes,yes,yes,no,yes,11,,701,central,,,,,,,,,,,
16023001,"Getchell Creek nr New Munich, CR176",Minnesota DNR,"Some years really ugly, so be cautious",look carefully at each month before aggregating ,yes?,yes?,yes?,no,yes,17,,701,central,,,,,,,,,,,
17063001,"Mayhew Creek nr St. Cloud, CSAH8",Minnesota DNR,"Some years really ugly, so be cautious",look carefully at each month before aggregating ,yes?,yes?,yes?,no,yes,9,,701,central,,,,,,,,,,,
