station,tstamp,value,quality,var_name,type
10067001,2018-11-08 00:00:00,88.4,Poor,Discharge (cfs),approved
10067001,2018-11-07 00:00:00,84.8,Fair,Discharge (cfs),approved
10067001,2018-11-06 00:00:00,74.5,Fair,Discharge (cfs),approved
10067001,2018-11-05 00:00:00,74,Fair,Discharge (cfs),approved
10067001,2018-11-04 00:00:00,78.1,Fair,Discharge (cfs),approved
10067001,2018-11-03 00:00:00,84.5,Fair,Discharge (cfs),approved
10067001,2018-11-02 00:00:00,95.1,Poor,Discharge (cfs),approved
10067001,2018-11-01 00:00:00,108,Poor,Discharge (cfs),approved
10067001,2018-10-31 00:00:00,120,Poor,Discharge (cfs),approved
10067001,2018-10-30 00:00:00,125,Poor,Discharge (cfs),approved
10067001,2018-10-29 00:00:00,116,Poor,Discharge (cfs),approved
10067001,2018-10-28 00:00:00,96.6,Poor,Discharge (cfs),approved
10067001,2018-10-27 00:00:00,69.8,Fair,Discharge (cfs),approved
10067001,2018-10-26 00:00:00,43.4,Fair,Discharge (cfs),approved
10067001,2018-10-25 00:00:00,36.3,Fair,Discharge (cfs),approved
10067001,2018-10-24 00:00:00,39.5,Fair,Discharge (cfs),approved
10067001,2018-10-23 00:00:00,44.4,Fair,Discharge (cfs),approved
10067001,2018-10-22 00:00:00,49.7,Fair,Discharge (cfs),approved
10067001,2018-10-21 00:00:00,58,Fair,Discharge (cfs),approved
10067001,2018-10-20 00:00:00,65.9,Fair,Discharge (cfs),approved
10067001,2018-10-19 00:00:00,77.7,Fair,Discharge (cfs),approved
10067001,2018-10-18 00:00:00,90.4,Poor,Discharge (cfs),approved
10067001,2018-10-17 00:00:00,102,Poor,Discharge (cfs),approved
10067001,2018-10-16 00:00:00,116,Poor,Discharge (cfs),approved
10067001,2018-10-15 00:00:00,129,Poor,Discharge (cfs),approved
10067001,2018-10-14 00:00:00,140,Poor,Discharge (cfs),approved
10067001,2018-10-13 00:00:00,142,Poor,Discharge (cfs),approved
10067001,2018-10-12 00:00:00,127,Poor,Discharge (cfs),approved
10067001,2018-10-11 00:00:00,104,Poor,Discharge (cfs),approved
10067001,2018-10-10 00:00:00,53.6,Fair,Discharge (cfs),approved
10067001,2018-10-09 00:00:00,20.5,Fair,Discharge (cfs),approved
10067001,2018-10-08 00:00:00,16,Fair,Discharge (cfs),approved
10067001,2018-10-07 00:00:00,16.5,Fair,Discharge (cfs),approved
10067001,2018-10-06 00:00:00,13.5,Poor,Discharge (cfs),approved
10067001,2018-10-05 00:00:00,11.7,Poor,Discharge (cfs),approved
10067001,2018-10-04 00:00:00,9.58,Poor,Discharge (cfs),approved
10067001,2018-10-03 00:00:00,9.22,Poor,Discharge (cfs),approved
10067001,2018-10-02 00:00:00,8.63,Poor,Discharge (cfs),approved
10067001,2018-10-01 00:00:00,9.49,Poor,Discharge (cfs),approved
10067001,2018-09-30 00:00:00,6.71,Poor,Discharge (cfs),approved
10067001,2018-09-29 00:00:00,7.48,Poor,Discharge (cfs),approved
10067001,2018-09-28 00:00:00,8.48,Poor,Discharge (cfs),approved
10067001,2018-09-27 00:00:00,10,Poor,Discharge (cfs),approved
10067001,2018-09-26 00:00:00,8.57,Poor,Discharge (cfs),approved
10067001,2018-09-25 00:00:00,8.35,Poor,Discharge (cfs),approved
10067001,2018-09-24 00:00:00,8.23,Poor,Discharge (cfs),approved
10067001,2018-09-23 00:00:00,9.86,Poor,Discharge (cfs),approved
10067001,2018-09-22 00:00:00,10.6,Poor,Discharge (cfs),approved
10067001,2018-09-21 00:00:00,8.47,Poor,Discharge (cfs),approved
10067001,2018-09-20 00:00:00,6.71,Poor,Discharge (cfs),approved
10067001,2018-09-19 00:00:00,5.97,Poor,Discharge (cfs),approved
10067001,2018-09-18 00:00:00,7.57,Poor,Discharge (cfs),approved
10067001,2018-09-17 00:00:00,7.09,Poor,Discharge (cfs),approved
10067001,2018-09-16 00:00:00,7.43,Poor,Discharge (cfs),approved
10067001,2018-09-15 00:00:00,8.49,Poor,Discharge (cfs),approved
10067001,2018-09-14 00:00:00,8.68,Poor,Discharge (cfs),approved
10067001,2018-09-13 00:00:00,8.86,Poor,Discharge (cfs),approved
10067001,2018-09-12 00:00:00,9.29,Poor,Discharge (cfs),approved
10067001,2018-09-11 00:00:00,10.8,Poor,Discharge (cfs),approved
10067001,2018-09-10 00:00:00,11.6,Poor,Discharge (cfs),approved
10067001,2018-09-09 00:00:00,12.8,Poor,Discharge (cfs),approved
10067001,2018-09-08 00:00:00,14.6,Poor,Discharge (cfs),approved
10067001,2018-09-07 00:00:00,18.4,Fair,Discharge (cfs),approved
10067001,2018-09-06 00:00:00,20.2,Fair,Discharge (cfs),approved
10067001,2018-09-05 00:00:00,19.7,Fair,Discharge (cfs),approved
10067001,2018-09-04 00:00:00,17,Poor,Discharge (cfs),approved
10067001,2018-09-03 00:00:00,14.1,Poor,Discharge (cfs),approved
10067001,2018-09-02 00:00:00,14.2,Poor,Discharge (cfs),approved
10067001,2018-09-01 00:00:00,14.9,Poor,Discharge (cfs),approved
10067001,2018-08-31 00:00:00,14.9,Poor,Discharge (cfs),approved
10067001,2018-08-30 00:00:00,16.2,Poor,Discharge (cfs),approved
10067001,2018-08-29 00:00:00,16.5,Fair,Discharge (cfs),approved
10067001,2018-08-28 00:00:00,15.5,Poor,Discharge (cfs),approved
10067001,2018-08-27 00:00:00,14.8,Poor,Discharge (cfs),approved
10067001,2018-08-26 00:00:00,14.4,Poor,Discharge (cfs),approved
10067001,2018-08-25 00:00:00,14.2,Poor,Discharge (cfs),approved
10067001,2018-08-24 00:00:00,14.3,Poor,Discharge (cfs),approved
10067001,2018-08-23 00:00:00,12.7,Poor,Discharge (cfs),approved
10067001,2018-08-22 00:00:00,13.6,Poor,Discharge (cfs),approved
10067001,2018-08-21 00:00:00,13.6,Poor,Discharge (cfs),approved
10067001,2018-08-20 00:00:00,13.6,Poor,Discharge (cfs),approved
10067001,2018-08-19 00:00:00,12,Poor,Discharge (cfs),approved
10067001,2018-08-18 00:00:00,12.1,Poor,Discharge (cfs),approved
10067001,2018-08-17 00:00:00,13,Poor,Discharge (cfs),approved
10067001,2018-08-16 00:00:00,14.5,Poor,Discharge (cfs),approved
10067001,2018-08-15 00:00:00,12.2,Poor,Discharge (cfs),approved
10067001,2018-08-14 00:00:00,11.8,Poor,Discharge (cfs),approved
10067001,2018-08-13 00:00:00,11.9,Poor,Discharge (cfs),approved
10067001,2018-08-12 00:00:00,12.5,Poor,Discharge (cfs),approved
10067001,2018-08-11 00:00:00,13,Poor,Discharge (cfs),approved
