,Station,StationName,DrainageArea,Latitude,Longitude,From,To,Years,RDBnumber
0,10067001,"Little Elk River nr Little Falls, CSAH13",147.2899398,46.02005016,-94.37749963,2004,2018,14,1
1,11015001,"Pine River nr Jenkins, CSAH15",286.9505375,46.69349717,-94.30426343,2010,2021,11,2
2,12047001,"Partridge River nr Staples, CSAH29",90.62439218,46.41712071,-94.84083174,2004,2022,18,3
3,16023001,"Getchell Creek nr New Munich, CR176",60.91845114,45.58553902,-94.72366006,2004,2022,18,4
4,17063001,"Mayhew Creek nr St. Cloud, CSAH8",49.50170441,45.5886928,-94.07933628,2007,2021,14,5
5,18066001,"North Fork Crow River nr Georgeville, CSAH19",180.7428582,45.44894469,-94.89220514,2002,2019,17,6
6,18075003,"Wright CD31 nr Montrose, Armitage Rd",23.52391931,45.04001616,-93.90551324,2008,2019,11,7
7,21021001,"Rum River nr Milaca, CSAH16",582.7342206,45.86595942,-93.69059745,2004,2021,17,8
8,38025003,"Vermillion River nr Vermillion, CSAH85",187.2506392,44.68635141,-92.95416442,2000,2023,23,9
9,39016001,"Little Cannon River nr Cannon Falls, CR24",84.73207413,44.47052141,-92.93393455,1998,2020,22,10
